x,y,z,phi
-3.000000000000e-05,-2.500000000000e-04,0.000000000000e+00,-1.311773211999e-12
3.000000000000e-05,-2.500000000000e-04,0.000000000000e+00,-1.811182817451e-12
3.000000000000e-05,2.500000000000e-04,0.000000000000e+00,-1.561136376460e-12
-3.000000000000e-05,2.500000000000e-04,0.000000000000e+00,-2.123217721744e-12
-1.100000000000e-04,-2.500000000000e-04,0.000000000000e+00,-1.276792961192e-12
-5.000000000000e-05,-2.500000000000e-04,0.000000000000e+00,-1.311773212001e-12
-5.000000000000e-05,2.500000000000e-04,0.000000000000e+00,-1.652104305515e-12
-1.100000000000e-04,2.500000000000e-04,0.000000000000e+00,-1.081652027764e-12
5.000000000000e-05,-2.500000000000e-04,0.000000000000e+00,-1.811182817451e-12
1.100000000000e-04,-2.500000000000e-04,0.000000000000e+00,-6.732421636034e-13
1.100000000000e-04,2.500000000000e-04,0.000000000000e+00,-2.026248800753e-12
5.000000000000e-05,2.500000000000e-04,0.000000000000e+00,-1.534908563205e-12
-3.000000000000e-04,-4.000000000000e-04,3.000000000000e-04,0.000000000000e+00
-3.000000000000e-04,-4.000000000000e-04,0.000000000000e+00,0.000000000000e+00
-3.000000000000e-04,4.000000000000e-04,3.000000000000e-04,0.000000000000e+00
-3.000000000000e-04,4.000000000000e-04,0.000000000000e+00,0.000000000000e+00
3.000000000000e-04,-4.000000000000e-04,3.000000000000e-04,0.000000000000e+00
3.000000000000e-04,-4.000000000000e-04,0.000000000000e+00,0.000000000000e+00
3.000000000000e-04,4.000000000000e-04,3.000000000000e-04,0.000000000000e+00
3.000000000000e-04,4.000000000000e-04,0.000000000000e+00,0.000000000000e+00
-2.200000000000e-04,-2.500000000000e-04,0.000000000000e+00,-1.051800854127e-13
-2.200000000000e-04,-3.700000000000e-04,0.000000000000e+00,-3.025727163931e-13
2.200000000000e-04,-3.700000000000e-04,0.000000000000e+00,-3.336419874625e-14
2.200000000000e-04,-2.500000000000e-04,0.000000000000e+00,-4.438226358039e-13
2.200000000000e-04,2.500000000000e-04,0.000000000000e+00,6.200228285413e-13
2.200000000000e-04,3.700000000000e-04,0.000000000000e+00,-2.569043667629e-13
-2.200000000000e-04,3.700000000000e-04,0.000000000000e+00,-4.598002454715e-13
-2.200000000000e-04,2.500000000000e-04,0.000000000000e+00,-9.895861537160e-14
-2.371692252312e-20,-2.500000000000e-04,0.000000000000e+00,9.999999999999e+00
3.000000000000e-05,-2.205882352941e-04,0.000000000000e+00,-2.816731221229e-12
3.000000000000e-05,-1.911764705882e-04,0.000000000000e+00,-2.504894845003e-12
3.000000000000e-05,-1.617647058824e-04,0.000000000000e+00,-2.504894845003e-12
3.000000000000e-05,-1.323529411765e-04,0.000000000000e+00,-2.934022048649e-12
3.000000000000e-05,-1.029411764706e-04,0.000000000000e+00,-2.934022048649e-12
3.000000000000e-05,-7.352941176471e-05,0.000000000000e+00,-1.909426408033e-12
3.000000000000e-05,-4.411764705882e-05,0.000000000000e+00,-3.092480352736e-12
3.000000000000e-05,-1.470588235294e-05,0.000000000000e+00,-8.537326043077e-13
3.000000000000e-05,1.470588235294e-05,0.000000000000e+00,-1.211170921279e-12
3.000000000000e-05,4.411764705882e-05,0.000000000000e+00,1.338020144300e-13
3.000000000000e-05,7.352941176471e-05,0.000000000000e+00,-3.179856280754e-12
3.000000000000e-05,1.029411764706e-04,0.000000000000e+00,1.642856963026e-13
3.000000000000e-05,1.323529411765e-04,0.000000000000e+00,-2.270123098769e-12
3.000000000000e-05,1.617647058824e-04,0.000000000000e+00,-2.506538343783e-12
3.000000000000e-05,1.911764705882e-04,0.000000000000e+00,-2.506538343783e-12
3.000000000000e-05,2.205882352941e-04,0.000000000000e+00,-1.461330923074e-12
2.371692252312e-20,2.500000000000e-04,0.000000000000e+00,9.999999999998e+00
-3.000000000000e-05,2.205882352941e-04,0.000000000000e+00,-2.559104653169e-12
-3.000000000000e-05,1.911764705882e-04,0.000000000000e+00,-2.506538343783e-12
-3.000000000000e-05,1.617647058824e-04,0.000000000000e+00,-2.506538343783e-12
